#GENE	COV002_endo	COV003_endo	COV004_endo	COV005_endo	COV006_endo	COV007_endo	COV008_endo	COV010_endo	COV011_endo	COV012_endo	COV013_endo	COV014_endo	COV015_endo	COV016_endo
A1BG	0	2	3	1	3	3	7	4	8	14	0	0	28	11
A1BG-AS1	76	270	84	1	39	49	102	93	46	63	36	41	28	45
A1CF	9	0	8	0	2	0	5	31	3	9	0	1	70	1
A2M	165	392	194	150	217	257	442	306	166	195	92	167	161	204
A2M-AS1	0	0	0	0	2	17	14	35	16	3	0	0	2	39
A2ML1	34	0	14	2	18	27	34	23	19	0	64	18	26	41
A2ML1-AS1	2	1	1	0	0	1	0	0	0	0	0	0	7	2
A2ML1-AS2	0	0	3	0	2	0	0	0	0	0	0	1	0	13
A2MP1	31	46	15	11	0	7	2	2	26	0	25	0	2	7
A3GALT2	0	0	0	0	0	0	0	0	0	1	0	1	0	0
A4GALT	323	620	274	501	316	332	469	318	206	225	197	202	151	320
A4GNT	0	0	14	0	0	2	0	9	8	0	0	0	20	0
AAAS	1333	3551	1525	2781	1679	2033	2735	1809	1296	1383	1096	1186	1051	1624
AACS	1431	1967	992	1425	1257	1447	1707	1267	916	976	832	928	659	1164
AACSP1	10	0	10	0	0	8	16	0	0	0	0	3	13	17
AADAC	87	0	42	336	10	92	34	24	26	7	19	2	46	43
AADACL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL2-AS1	22	0	3	38	0	0	4	0	2	1	4	3	6	0
AADACL3	0	0	0	0	0	0	4	0	0	0	0	0	1	0
AADACL4	0	0	0	0	8	2	0	0	0	0	6	1	10	0
AADACP1	77	15	173	17	272	455	181	382	239	324	109	177	506	547
AADAT	164	103	211	23	312	160	263	225	267	200	159	186	205	162
AAGAB	3570	5125	2924	3663	3869	3474	4430	3700	2992	2689	2530	3354	3077	4140
AAK1	2337	1788	1662	1117	2445	1987	2293	2574	1982	1718	1366	2091	1460	2904
AAMDC	1148	1359	1230	1556	1236	1404	1847	1338	890	1060	1137	933	752	1443
AAMP	4230	5460	3450	3310	3917	4635	6105	4512	2767	3097	2861	3040	2523	3773
AANAT	1	5	1	16	1	0	1	0	3	5	3	5	13	3
AAR2	1398	3146	1359	2243	1734	2093	2285	1927	1313	1412	1187	1116	943	1487
AARD	0	0	6	0	1	6	0	0	0	0	0	0	10	0
AARS1	3572	4210	3115	4877	3006	3177	5375	3993	2314	2926	2377	2665	2171	2727
AARS1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS2	496	1619	373	638	380	375	508	386	404	327	175	353	226	361
AARSD1	120	272	78	92	87	121	163	153	114	149	104	101	78	136
AASDH	547	297	720	84	657	617	809	821	626	625	767	790	459	915
AASDHPPT	4871	5307	4078	1937	6031	5848	5059	8369	5191	5629	4242	5572	4668	6065
AASS	1447	1968	839	990	1576	1178	1133	1253	993	793	674	1036	1171	906
AATBC	4	1	12	0	17	1	11	27	3	4	1	3	2	10
AATF	2110	2414	2064	2418	2040	2125	2983	2145	1529	1570	1375	1419	1018	1880
AATK	34	32	41	29	68	74	77	51	43	45	26	16	57	64
ABALON	67	68	45	56	51	103	101	53	75	63	71	58	62	58
ABAT	245	391	188	391	319	156	182	186	154	134	192	231	278	209
ABBA01000933.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01000935.2	0	0	0	0	12	0	0	0	0	0	7	0	0	7
ABBA01006766.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01010928.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01031658.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01031669.1	8	0	0	0	3	0	0	0	0	0	0	0	0	0
ABBA01045074.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABBA01045074.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA1	141	58	125	45	106	87	132	99	102	107	46	91	106	85
ABCA10	44	0	88	1	36	58	61	35	70	48	42	32	130	12
ABCA11P	43	61	34	138	52	38	52	77	31	23	17	88	73	65
ABCA12	87	23	17	1	3	12	16	1	27	0	80	5	75	54
ABCA13	134	0	19	0	35	34	24	14	40	0	25	22	45	45
ABCA17P	42	25	17	33	28	21	21	12	28	10	40	34	35	34
ABCA2	36	6	42	59	44	61	75	51	23	67	93	40	41	41
ABCA3	595	1210	732	1542	871	744	1216	810	547	673	432	496	328	537
ABCA4	201	666	85	126	149	188	159	143	114	94	156	110	118	139
ABCA5	754	620	970	703	1343	1312	980	2040	1364	1266	525	1122	880	1194
ABCA6	711	548	639	4	740	578	991	1029	884	930	902	836	539	530
ABCA7	23	2	44	2	17	51	150	28	36	39	80	37	36	56
ABCA8	51	81	71	0	208	132	98	124	143	84	215	194	41	266
ABCA9	74	0	25	9	27	37	103	3	59	40	171	59	9	53
ABCA9-AS1	4	0	34	19	8	3	16	27	25	18	5	44	75	42
ABCB1	60	27	79	71	59	44	150	127	86	53	52	45	76	41
ABCB10	1808	444	1399	926	1502	1627	1331	1715	1416	1175	825	1434	1236	1418
ABCB10P1	5	0	2	0	0	2	2	3	4	0	0	2	4	0
ABCB10P3	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P4	0	0	1	0	0	0	0	1	1	0	0	0	0	0
ABCB11	47	0	18	0	0	15	10	7	11	3	8	16	58	4
ABCB4	12	10	14	0	3	6	32	19	38	7	31	22	144	7
ABCB5	7	0	29	173	1	9	3	10	5	0	25	7	25	0
ABCB6	120	39	69	76	69	90	122	98	58	45	49	48	57	72
ABCB7	1648	2004	1131	1804	1798	1513	1510	1251	1379	1368	1245	1329	1068	1572
ABCB8	723	1335	787	1387	1067	1062	1501	970	582	675	588	601	464	772
ABCB9	281	1036	304	395	254	407	392	414	283	195	313	263	241	227
ABCC1	575	383	458	521	601	501	626	551	387	333	479	429	564	526
ABCC10	673	318	470	387	428	608	1166	592	445	431	339	488	280	442
ABCC11	42	0	11	45	0	14	33	9	26	6	4	4	9	18
ABCC12	25	0	5	1	2	0	16	0	11	0	1	2	43	2
ABCC13	34	30	21	0	79	8	2	1	122	0	19	22	0	18
ABCC2	24	1	117	0	208	62	44	30	102	32	1	86	69	14
ABCC3	400	450	285	421	292	348	403	338	275	271	207	214	118	201
ABCC4	2986	3820	2100	1306	2769	1688	2348	2693	1859	1875	1977	1997	2458	2399
ABCC5	905	1256	742	456	827	699	1209	801	684	659	1166	767	679	1180
ABCC5-AS1	92	0	13	0	12	8	8	0	0	13	62	0	0	2
ABCC6	57	112	34	145	70	55	63	30	33	60	9	45	44	109
ABCC6P1	11	0	12	0	0	8	5	9	1	1	105	12	66	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	2	0	15	1	21	3	31	4	28	0	27	6	23	28
ABCC9	19	0	70	1	10	8	30	3	49	1	99	13	99	37
ABCD1	96	161	62	340	151	165	177	107	79	62	106	75	88	114
ABCD1P2	0	0	0	1	0	0	3	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCD2	51	0	0	1	0	0	0	0	7	1	3	0	0	0
ABCD3	4481	4397	3578	2463	3680	3570	3575	5066	4134	3176	2731	4241	4348	4420
ABCD4	1371	2562	1144	1220	1699	1612	2247	1985	1124	1384	1142	1272	780	1225
ABCE1	16211	10411	13753	10631	17991	14465	13281	18843	15123	13641	12060	14530	12560	15687
ABCF1	2679	3603	2081	3222	2379	2516	3511	2826	1785	1950	1932	1845	1430	2477
ABCF2	4202	7182	3710	6015	4019	3997	6800	4712	3037	3743	2876	3753	2390	4090
ABCF2P1	6	6	0	4	3	4	10	6	0	1	2	2	29	6
ABCF2P2	0	0	5	0	0	0	0	0	0	0	0	0	0	0
ABCF3	840	2369	813	1242	954	1168	1593	1084	838	639	763	584	611	967
ABCG1	845	1134	812	980	705	833	1421	1061	679	949	517	559	216	665
ABCG2	20	142	18	3	77	94	17	16	70	11	28	2	89	66
ABCG4	57	150	14	0	16	28	15	5	3	6	44	15	13	11
ABCG5	9	108	6	11	3	28	17	26	20	1	3	0	10	33
ABCG8	39	0	26	3	15	9	42	10	12	2	45	20	9	13
ABHD1	12	0	10	77	53	33	45	9	35	2	40	10	1	41
ABHD10	3764	4448	3376	3663	4271	3779	4167	4280	3442	3376	2735	3552	3292	3893
ABHD11	629	758	390	356	460	632	638	529	323	362	317	296	322	439
ABHD11-AS1	0	0	10	34	20	5	3	2	4	2	32	3	0	5
ABHD12	1887	1656	1917	1760	2006	1824	2828	1742	1415	1535	1517	1295	1199	1746
ABHD12B	34	1	19	4	14	41	15	2	28	4	68	26	45	45
ABHD13	1678	2094	2334	2983	3199	3087	2551	4806	2501	2368	2441	2773	2779	2718
ABHD14A	322	669	218	232	230	361	516	334	207	231	252	231	201	231
ABHD14A-ACY1	6	9	7	0	0	5	0	3	0	5	6	3	2	0
ABHD14B	1301	3712	983	2171	1361	1245	1842	1287	867	1107	1002	946	751	1114
ABHD15	562	297	141	529	192	353	325	210	210	177	134	156	190	332
ABHD15-AS1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
