gene,type
A0A0B4U6M2,growth_factors_&_receptors
A0A0Y0IMM4,growth_factors_&_receptors
A0A0Y0J542,growth_factors_&_receptors
A0A140VJC8,growth_factors_&_receptors
A0A140VJI7,growth_factors_&_receptors
A0A140VJM7,hormones_&_receptors
A0A1U9WZ84,growth_factors_&_receptors
A0A1U9WZ84,hormones_&_receptors
A0A2R8Y747,hormones_&_receptors
A0A384N655,hormones_&_receptors
A0A384NPH9,growth_factors_&_receptors
A0A384NYY3,growth_factors_&_receptors
A0A3B3ISS9,growth_factors_&_receptors
A0A3B3ISS9,hormones_&_receptors
A1Z2K1,growth_factors_&_receptors
A2M,growth_factors_&_receptors
A2NWD3,growth_factors_&_receptors
A6XGL1,hormones_&_receptors
A6XMH1,hormones_&_receptors
A6XMH3,hormones_&_receptors
A6XNC9,growth_factors_&_receptors
A6XND1,growth_factors_&_receptors
A6XND7,hormones_&_receptors
A8K147,growth_factors_&_receptors
A8K673,growth_factors_&_receptors
A8K694,growth_factors_&_receptors
A8K6C9,growth_factors_&_receptors
A8K6C9,hormones_&_receptors
A8K6K9,growth_factors_&_receptors
A8K7E4,hormones_&_receptors
A8K852,growth_factors_&_receptors
A8K878,growth_factors_&_receptors
A8K9V7,growth_factors_&_receptors
A8KAM8,growth_factors_&_receptors
ABHD2,hormones_&_receptors
ACKR3,cytokin/chemokine_&_receptors
ACKR4,cytokin/chemokine_&_receptors
ACVR1,cytokin/chemokine_&_receptors
ACVR1,growth_factors_&_receptors
ACVR1,hormones_&_receptors
ACVR1B,cytokin/chemokine_&_receptors
ACVR1B,growth_factors_&_receptors
ACVR1C,cytokin/chemokine_&_receptors
ACVR1C,growth_factors_&_receptors
ACVR2A,cytokin/chemokine_&_receptors
ACVR2A,growth_factors_&_receptors
ACVR2B,cytokin/chemokine_&_receptors
ACVR2B,growth_factors_&_receptors
ACVRL1,cytokin/chemokine_&_receptors
ACVRL1,growth_factors_&_receptors
ADA2,growth_factors_&_receptors
ADAM17,growth_factors_&_receptors
ADCYAP1,hormones_&_receptors
ADCYAP1R1,hormones_&_receptors
ADID,hormones_&_receptors
ADIPOQ,hormones_&_receptors
ADIPOR1,hormones_&_receptors
ADIPOR2,hormones_&_receptors
ADM,hormones_&_receptors
ADM2,hormones_&_receptors
AGR2,growth_factors_&_receptors
AgRP,hormones_&_receptors
AGRP,hormones_&_receptors
AGT,growth_factors_&_receptors
AGT,hormones_&_receptors
ALDH1A1,hormones_&_receptors
ALDH1A3,hormones_&_receptors
AMBN,growth_factors_&_receptors
AMELX,growth_factors_&_receptors
AMH,cytokin/chemokine_&_receptors
AMH,hormones_&_receptors
AMH,growth_factors_&_receptors
AMHR2,cytokin/chemokine_&_receptors
AMHR2,hormones_&_receptors
ANGPTL3,growth_factors_&_receptors
ANGPTL8,hormones_&_receptors
APELA,hormones_&_receptors
API5,growth_factors_&_receptors
APLN,hormones_&_receptors
APP,growth_factors_&_receptors
APP,hormones_&_receptors
AR,hormones_&_receptors
AREG,growth_factors_&_receptors
ARF4,growth_factors_&_receptors
ARTN,growth_factors_&_receptors
ASIP,hormones_&_receptors
ATP1A1,hormones_&_receptors
ATP1A2,hormones_&_receptors
ATP1A3,hormones_&_receptors
ATXN2,growth_factors_&_receptors
AVP,hormones_&_receptors
AVPR1A,hormones_&_receptors
AVPR1B,hormones_&_receptors
B2R6I6,hormones_&_receptors
B2R773,hormones_&_receptors
B2R7T2,growth_factors_&_receptors
B2R8C7,growth_factors_&_receptors
B2R8Y2,hormones_&_receptors
B2R9K6,growth_factors_&_receptors
B2R9M9,growth_factors_&_receptors
B2RBW9,growth_factors_&_receptors
B2RBW9,hormones_&_receptors
B2RC63,growth_factors_&_receptors
B2ZPJ8,growth_factors_&_receptors
B3KNF2,hormones_&_receptors
B3KPF0,growth_factors_&_receptors
B3KQF4,growth_factors_&_receptors
B3KRJ8,growth_factors_&_receptors
B3KRW4,growth_factors_&_receptors
B3KRZ1,growth_factors_&_receptors
B3KTQ0,growth_factors_&_receptors
B3KTS0,growth_factors_&_receptors
B3KTS7,growth_factors_&_receptors
B3KVF9,growth_factors_&_receptors
